All|All
Abnormality|Abnormality of urine calcium concentration
Abnormality|Abnormality of urine catecholamine concentration
Abnormality|Abnormality of the hindbrain
Abnormality|Abnormality of the metencephalon
Short-segment|Short-segment aganglionic megacolon
Long-segment|Long-segment aganglionic megacolon
Total|Total colonic aganglionosis
EEG|EEG with occipital sharp slow waves
EEG|EEG with parietal sharp slow waves
EEG|EEG with temporal sharp slow waves
EEG|EEG with frontal sharp slow waves
EEG|EEG with central sharp slow waves
EEG|EEG with occipital sharp waves
EEG|EEG with central sharp waves
EEG|EEG with frontal sharp waves
EEG|EEG with parietal sharp waves
EEG|EEG with temporal sharp waves
Abnormality|Abnormality of the digits
Digital|Digital anomalies
Prominent|Prominent digit pad
Partial|Partial absence of finger
Broad|Broad fingertip
Absent|Absent foot
Apodia|Apodia
Long|Long palm
Convex|Convex contour of sole
Broad|Broad thumb
Broad|Broad phalanges of the thumb
Broad|Broad thumbs
Wide/broad|Wide/broad thumb
Wide/broad|Wide/broad thumb phalanges
Partial|Partial absence of toe
Hypophalangy|Hypophalangy of toes
Aplasia|Aplasia of the toes
Splayed|Splayed toes
Slender|Slender toe
Narrow|Narrow toe
Tapered|Tapered toe
Tapering|Tapering toes
Bridged|Bridged palmar crease
Transitional|Transitional palmar crease
Sydney|Sydney crease
Fused|Fused nails
Narrow|Narrow nail
Abnormality|Abnormality of long bone morphology
Abnormality|Abnormality of the tubular bones
Unicoronal|Unicoronal synostosis
Left|Left unicoronal synostosis
Right|Right unicoronal synostosis
Bicoronal|Bicoronal synostosis
Bilambdoid|Bilambdoid synostosis
Unilambdoid|Unilambdoid synostosis
Left|Left unilambdoid synostosis
Right|Right unilambdoid synostosis
Cleft|Cleft of chin
Multiple|Multiple suture craniosynostosis
Multisutural|Multisutural craniosynostosis
Pansynostosis|Pansynostosis
Anterior|Anterior plagiocephaly
Posterior|Posterior plagiocephaly
Occipital|Occipital plagiocephaly
Abnormality|Abnormality of fontanelles
Abnormality|Abnormality of cranial sutures
Metopic|Metopic synostosis
Hemifacial|Hemifacial atrophy
Hemifacial|Hemifacial hypoplasia
Asymmetric|Asymmetric crying face
Facial|Facial shape deformation
Facial|Facial shape compression
Frontal|Frontal hirsutism
Hirsute|Hirsute forehead
Bitemporal|Bitemporal forceps marks
Abnormality|Abnormality of mouth size
Abnormality|Abnormality of mouth shape
Abnormality|Abnormality of upper lip vermillion
Incomplete|Incomplete cleft of the upper lip
Forme|Forme fruste unilateral cleft lip
Long|Long upper lip
Mild|Mild global developmental delay
Moderate|Moderate global developmental delay
Severe|Severe global developmental delay
Moderate|Moderate expressive language delay
Mild|Mild expressive language delay
Abnormality|Abnormality of ocular abduction
Abnormality|Abnormality of the sixth cranial nerve
Abducens|Abducens palsy
Mild|Mild receptive language delay
Moderate|Moderate receptive language delay
Severe|Severe receptive language delay
Arterial|Arterial intimal fibrosis
Generalized|Generalized abnormality of skin
Generalised|Generalised abnormality of skin
Localized|Localized skin lesion
Regional|Regional abnormality of skin
Abnormality|Abnormality of hair density
Generalized|Generalized hypopigmentation of hair
Dry|Dry hair
Acquired|Acquired abnormal hair pattern
Congenital|Congenital abnormal hair pattern
Abnormal|Abnormal hair quantity
Abnormality|Abnormality of hair growth rate
White|White hair
Patchy|Patchy hypopigmentation of hair
Absent|Absent fifth finger- and toenails
Yellow|Yellow nails
Epidermal|Epidermal thickening
Mongolian|Mongolian blue spot
Recurrent|Recurrent cutaneous fungal infections
Recurrent|Recurrent viral skin infections
Aplasia|Aplasia of the inner ear
Aplasia|Aplasia of the labyrinth
Labyrinthine|Labyrinthine aplasia
Michel|Michel deformity
Incomplete|Incomplete partition of the cochlea
Incomplete|Incomplete partition of the cochlea type I
Cochlear|Cochlear aplasia
Morphological|Morphological abnormality of the vestibule of the inner ear
Aplasia|Aplasia of the vestibule
Hypoplasia|Hypoplasia of the vestibule of the inner ear
Dilated|Dilated vestibule of the inner ear
Morphological|Morphological abnormality of the semicircular canal
Aplasia|Aplasia of the semicircular canal
Hypoplasia|Hypoplasia of the semicircular canal
Enlarged|Enlarged semicircular canal
Dilated|Dilated semicircular canal
Abnormality|Abnormality of the internal auditory canal
Abnormality|Abnormality of the internal acoustic meatus
Absent|Absent internal auditory canal
Narrow|Narrow internal auditory canal
Enlarged|Enlarged vestibular aqueduct
Dilated|Dilated vestibular aqueduct
Widened|Widened vesitbular aqueduct
Enlarged|Enlarged cochlear aqueduct
Dilated|Dilated cochlear aqueduct
Functional|Functional abnormality of the inner ear
Morphological|Morphological abnormality of the inner ear
Morphological|Morphological abnormality of the nerves of the inner ear
Abnormality|Abnormality of the vestibular nerve
Aplasia|Aplasia of the vestibular nerve.
Aplasia|Aplasia of the eighth cranial nerve
Hypoplasia|Hypoplasia of the vestibular nerve
Hypoplasia|Hypoplasia of the eighth cranial nerve
Thin|Thin vestibular nerve
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the cochlea
Abnormality|Abnormality of the cochlear nerve
Abnormality|Abnormality of the dorsal column of the spinal cord
Central|Central hypotonia
Tibialis|Tibialis atrophy
Abnormal|Abnormal CNS myelination
Abnormal|Abnormal formation of myelin sheaths
Abnormal|Abnormal myelination
Delayed|Delayed peripheral myelination
Demyelinating|Demyelinating sensory neuropathy
Abnormal|Abnormal umbilical cord blood vessels
Lethal|Lethal short-trunk short stature
Lethal|Lethal short-trunk dwarfism
Childhood|Childhood onset short-limb short stature
Short-limb|Short-limb dwarfism identifiable during childhood
Infancy|Infancy onset short-trunk short stature
Short-trunk|Short-trunk dwarfism, identifiable in infancy
Proportionate|Proportionate tall stature
Moderate|Moderate intrauterine growth retardation
Abnormality|Abnormality of placental membranes
Caesarian|Caesarian section
Forceps|Forceps delivery
Ventouse|Ventouse delivery
Shoulder|Shoulder dystocia
Hydropic|Hydropic placenta
Hydrops|Hydrops of the placenta
Calcified|Calcified placenta
Placental|Placental infarction
Placental|Placental thromboembolism
Long|Long umbilical cord
Abnormal|Abnormal insertion of umbilical cord
Vasa|Vasa previa
Placental|Placental abruption
Abruptio|Abruptio placentae
Death|Death
Death|Death in adolescence
Abnormality|Abnormality of chloride homeostasis
Hyperchloremia|Hyperchloremia
Increased|Increased serum zinc
Hyperzincemia|Hyperzincemia
Fetal|Fetal ultrasound soft marker
Fetal|Fetal choroid plexus cysts
Enlarged|Enlarged fetal cisterna magna
Short|Short fetal femur length
Short|Short fetal humerus length
Hypoplasia|Hypoplasia of fetal nasal bone
Fetal|Fetal fifth finger clinodactyly
High|High maternal serum alpha-fetoprotein
High|High maternal serum chorionic gonadotropin
High|High maternal serum hCG
Low|Low maternal serum chorionic gonadotropin
Low|Low maternal serum hCG
Low|Low maternal serum PAPP-A
Abnormal|Abnormal maternal serum screening
Maternal|Maternal autoimmune disease
Maternal|Maternal teratogenic exposure
Anesthetic-induced|Anesthetic-induced rhabdomylosis
Alcohol-induced|Alcohol-induced rhabdomyolysis
Abnormality|Abnormality of the medulla oblongata
Abnormality|Abnormality of central motor function
Abnormality|Abnormality of coordination
Decorticate|Decorticate rigidity
Athetoid|Athetoid cerebral palsy
Abnormality|Abnormality of higher mental function
Hyposegmentation|Hyposegmentation of neutrophil nuclei
Ankle|Ankle clonus
Knee|Knee clonus
Patellar|Patellar clonus
CNS|CNS infection
Congenital|Congenital microcephaly
Functional|Functional abnormality of the middle ear
Abnormality|Abnormality of the incus
Abnormality|Abnormality of the malleus
Absent|Absent malleus
Absent|Absent stapes
Loss|Loss of eyelashes
Ciliary|Ciliary Madarosis
Milphosis|Milphosis
Abdominal|Abdominal symptom
Esophageal|Esophageal carcinoma
Embryonal|Embryonal onset
Fetal|Fetal onset
Young|Young adult onset
Childhood|Childhood onset
Aganglionosis|Aganglionosis of the small intestine
Duodenal|Duodenal aganglionosis
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the gallbladder
Absent|Absent gallbladder
Agenesis|Agenesis of the gallbladder
Aplasia|Aplasia of the gallbladder
Facial|Facial tics
Nasal|Nasal regurgitation
Nasogastric|Nasogastric tube feeding in infancy
Gastrostomy|Gastrostomy tube feeding in infancy
Abnormality|Abnormality of small intestinal villus morphology
Villous|Villous atrophy
Atrophy|Atrophy of small intestinal villi
Childhood|Childhood onset sensorineural hearing impairment
Persistent|Persistent stapedial artery
Profound|Profound sensorineural hearing impairment
Upbeat|Upbeat nystagmus
True|True anophthalmia
Abnormality|Abnormality of the lacrimal punctum
Unilateral|Unilateral microphthalmos
Abnormality|Abnormality of the lacrimal duct
Abnormality|Abnormality of the lacrimal canaliculus.
Abnormality|Abnormality of the lacrimal gland
Anterior|Anterior synechiae of the anterior chamber
Anterior|Anterior synechiae 
Posterior|Posterior synechiae of the anterior chamber
Posterior|Posterior synechiae 
Corneolenticular|Corneolenticular adhesion
Abnormality|Abnormality of corneal thickness
Increased|Increased corneal thickness
Abnormality|Abnormality of corneal endothelium
Abnormal|Abnormal migration of corneal endothelium
Abnormality|Abnormality of Descemet's membrane
Reduced|Reduced number of corneal endothelial cells
Abnormality|Abnormality of corneal stroma
Central|Central opacification of the cornea
Generalized|Generalized opacification of the cornea
Generalised|Generalised opacification of the cornea
Abnormality|Abnormality of corneal epithelium
Corneal|Corneal vascularization
Iris|Iris neovascularization
Partial|Partial aniridia
Mydriasis|Mydriasis
Polycoria|Polycoria
Anterior|Anterior lenticonus
Posterior|Posterior lenticonus
Aplasia|Aplasia of the fovea
Bull's|Bull's eye maculopathy
Cystoid|Cystoid macular edema
Cystoid|Cystoid macular oedema
Choroidal|Choroidal neovascularization of the macula
Macular|Macular flecks
Macular|Macular hole
Macular|Macular hyperpigmentation
Drusen|Drusen
Macular|Macular schisis
Hyperpigmentation|Hyperpigmentation of the fundus
Retinal|Retinal cavernous angioma
Abnormality|Abnormality of binocular vision
Abnormal|Abnormal stereopsis
Rod|Rod monochromacy
Cone|Cone monochromacy
Dichromacy|Dichromacy
Anomalous|Anomalous trichromacy
Deuteranomoly|Deuteranomoly
Deuteranopia|Deuteranopia
Protanopia|Protanopia
Iris|Iris cyst
Iris|Iris melanoma
Iris|Iris nevus
Abnormality|Abnormality of lens shape
Lentiglobus|Lentiglobus
Single|Single isolated congenital hypertrophy of retinal pigment epithelium
Single|Single isolated CHRPE
Multiple|Multiple bilateral congenital hypertrophy of retinal pigment epithelium
Multiple|Multiple bilateral  CHRPE
Retinal|Retinal hole
Vitreitis|Vitreitis
Subretinal|Subretinal exudate
Snowflake|Snowflake retinal degeneration
Abnormal|Abnormal spatial orientation of the cardiac segments
Abnormal|Abnormal atrial arrangement
Right|Right atrial isomerism
Left|Left atrial isomerism
Atrial|Atrial situs inversus
Atrial|Atrial situs ambiguous
Congenitally|Congenitally corrected transposition of the great arteries
Criss-cross|Criss-cross atrioventricular valves
Criss-cross|Criss-cross atrioventricular valves with superior-inferior ventricles
Superior-inferior|Superior-inferior ventricles without criss-cross atrioventricular valves
L-looping|L-looping of the right ventricle
Abnormal|Abnormal connection of the cardiac segments
Abnormal|Abnormal atrioventricular connection
Absent|Absent left sided atrioventricular connection
Absent|Absent right sided atrioventricular connection
Univentricular|Univentricular heart with absent left sided atrioventricular connection
Biventricular|Biventricular heart with straddling right sided atrioventricular valve and absent left sided atrioventricular connection
Right|Right sided atrium to left ventricle and absent left sided atrioventricular connection
Ambiguous|Ambiguous atrioventricular connection
Discordant|Discordant atrioventricular connection
Double|Double inlet atrioventricular connection
Double|Double inlet left ventricle
Double|Double inlet right ventricle
Double|Double inlet to single ventricle of indeterminate morphology
Double|Double inlet to single ventricle with common atrioventricular orifice
Double|Double inlet to single ventricle with two atrioventricular valves
Mitral|Mitral atresia
Mitral|Mitral valve atresia
Overriding|Overriding atrioventricular valve
Straddling|Straddling atrioventricular valve
Abnormal|Abnormal ventriculo-arterial connection
Mitral|Mitral valve arcade
Hammock|Hammock mitral valve
Common|Common atrium
Cor|Cor triatriatum dexter
Sinus|Sinus venosus atrial septal defect
Double|Double orifice mitral valve
Cleft|Cleft anterior mitral valve leaflet
Congenital|Congenital mitral stenosis
Parachute|Parachute mitral valve
Supramitral|Supramitral ring
Membranous|Membranous supravalvular mitral stenosis
Supravalvular|Supravalvular mitral ring
Hypoplastic|Hypoplastic tricuspid valve
Imperforate|Imperforate atrioventricular valve
Imperforate|Imperforate tricuspid valve
Intermediate|Intermediate atrioventricular canal defect
Partial|Partial atrioventricular canal defect
Transitional|Transitional atrioventricular canal defect
Unbalanced|Unbalanced atrioventricular canal defect
Unbalanced|Unbalanced atrioventricular septal defect 
Short|Short chordae tendineae of the mitral valve
Double|Double outlet left ventricle
Abdominal|Abdominal ectopia cordis
Cervical|Cervical ectopia cordis
Thoracocervical|Thoracocervical ectopia cordis
Thoracic|Thoracic ectopia cordis
Thoracoabdominal|Thoracoabdominal ectopia cordis
Abnormal|Abnormal branching pattern of the aortic arch
Cervical|Cervical aortic arch
Common|Common origin of the right brachiocephalic artery and left common carotid artery
Common|Common brachiocephalic trunk
Double|Double aortic arch
Left|Left aortic arch with cervical origin of the right subclavian artery
Left|Left aortic arch with isolated subclavian artery
Left|Left aortic arch with retroesophageal diverticulum of Kommerell
Kommerell|Kommerell diverticulum
Right|Right aortic arch with retroesophageal diverticulum of Kommerell
Left|Left aortic arch with retroesophageal right subclavian artery
Left|Left aortic arch with right descending aorta and right ductus arteriosus
Right|Right aortic arch with left descending aorta and left ductus arteriosus
Right|Right aortic arch with retroesophageal left subclavian artery
Right|Right aortic arch with aberrant left subclavian artery
Right|Right aortic arch with anomalous left subclavian artery
Mesocardia|Mesocardia
Abnormal|Abnormal direction of ventricular apex
Rightward|Rightward direction of ventricular apex
Midline|Midline direction of ventricular apex
Congenital|Congenital malformation of the great arteries
Aortopulmonary|Aortopulmonary window
Congenitally|Congenitally corrected transposition of the great arteries with ventricular septal defect
Transposition|Transposition of the great arteries with intact ventricular septum
TGA|TGA IVS
Transposition|Transposition of the great arteries with ventricular septal defect
TGA|TGA VSD
Type|Type II truncus arteriosus
Type|Type 2 truncus arteriosus
Type|Type III truncus arteriosus
Type|Type 3 truncus arteriosus
Type|Type IV truncus arteriosus
Type|Type 4 truncus arteriosus
Interrupted|Interrupted aortic arch
Atretic|Atretic transverse aortic arch
Interrupted|Interrupted aortic arch type A
Interrupted|Interrupted aortic arch type B
Interrupted|Interrupted aortic arch type C
Abnormality|Abnormality of pulmonary situs
Pulmonary|Pulmonary situs inversus
Pulmonary|Pulmonary situs ambiguus
Pulmonary|Pulmonary situs ambiguus with bilateral morphologic right lungs
Pulmonary|Pulmonary situs ambiguus with bilateral morphologic left lungs
Abnormality|Abnormality of abdominal situs
Gerbode|Gerbode ventricular septal defect
Inlet|Inlet ventricular septal defect
Atrioventricular|Atrioventricular canal type ventricular septal defect
Type|Type 3 ventricular septal defect
Muscular|Muscular ventricular septal defect
Type|Type 4 ventricular septal defect
Apical|Apical muscular ventricular septal defect
Multiple|Multiple muscular ventricular septal defects
Scimitar|Scimitar anomaly
Scimitar|Scimitar syndrome
Aorto-ventricular|Aorto-ventricular tunnel
Congenital|Congenital defect of the pericardium
Total|Total absence of the pericardium
Complete|Complete diaphragmatic absence of pericardium
Complete|Complete right sided absence of pericardium
Partial|Partial right sided absence of pericardium
Complete|Complete left sided absence of pericardium
Partial|Partial left sided absence of pericardium
Partial|Partial diaphragmatic absence of pericardium
Abnormal|Abnormal origin of the coronary arteries
Anomalous|Anomalous origin of coronary artery from the pulmonary artery
Anomalous|Anomalous origin of left coronary artery from the pulmonary artery
Anomalous|Anomalous origin of right coronary artery from the pulmonary artery
Single|Single coronary artery origin
Coronary|Coronary artery fistula
Abnormality|Abnormality of the coronary sinus
Coronary|Coronary sinus atrial septal defect
Coronary|Coronary sinus diverticulum
Diverticulum|Diverticulum of the coronary sinus
Sinus|Sinus of Valsalva aneurysm
Juxtaductal|Juxtaductal coarctation of the aorta
Postductal|Postductal coarctation of the aorta
Postductal|Postductal aortic coarctation
Patent|Patent ductus arteriosus after birth at term
Patent|Patent ductus arteriosus after premature birth
Bilateral|Bilateral ductus arteriosus
Double|Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis
Double|Double outlet right ventricle with doubly committed ventricular septal defect without pulmonary stenosis
Double|Double outlet right ventricle with non-committed ventricular septal defect and pulmonary stenosis
Double|Double outlet right ventricle with non-committed ventricular septal defect without pulmonary stenosis
Double|Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis
Double|Double outlet right ventricle with subaortic ventricular septal defect without pulmonary stenosis
Double|Double outlet right ventricle with subpulmonary ventricular septal defect and pulmonary stenosis
Double|Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis
Tetralogy|Tetralogy of Fallot with absent pulmonary valve
Tetralogy|Tetralogy of Fallot with absent pulmonary valve syndrome
Anomalous|Anomalous origin of one pulmonary artery from ascending aorta
Hemitruncus|Hemitruncus
Anomalous|Anomalous origin of left pulmonary artery from ascending aorta
Tricuspid|Tricuspid atresia
Right|Right ventricular cardiomyopathy
Non-compaction|Non-compaction cardiomyopathy
Takotsubo|Takotsubo cardiomyopathy
Absent|Absent right superior vena cava
Bilateral|Bilateral superior vena cava with bridging vein
Bilateral|Bilateral superior vena cava with no bridging vein
Left|Left superior vena cava draining directly to the left atrium
Left|Left superior vena cava draining to coronary sinus
Interrupted|Interrupted inferior vena cava with azygous continuation
Cardiac|Cardiac myxoma
Cardiac|Cardiac hemangioma
Cardiac|Cardiac teratoma
Arrhythmia|Arrhythmia
Abnormal|Abnormal electrocardiogram
Abnormality|Abnormality of cardiac conduction
Arrhythmias|Arrhythmias
Cardiac|Cardiac arrhythmia
Cardiac|Cardiac arrhythmias
Cardiac|Cardiac conduction abnormalities
Cardiac|Cardiac conduction defects
Cardiac|Cardiac rhythm disturbances
ECG|ECG abnormality
Ekg|Ekg abnormalities
EKG|EKG abnormality
Electrocardiographic|Electrocardiographic changes
Heart|Heart rhythm disorders
Irregular|Irregular heart beat
Irregular|Irregular heartbeat
Tetralogy|Tetralogy of Fallot with absent subarterial conus
Tetralogy|Tetralogy of Fallot with atrioventricular canal defect
Tetralogy|Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries
Tetralogy|Tetralogy of Fallot with pulmonary stenosis
Single|Single ventricle of indeterminate morphology
Subarterial|Subarterial ventricular septal defect
Conal|Conal ventricular septal defect
Doubly|Doubly committed ventricular septal defect
Infundibular|Infundibular ventricular septal defect
Supracristal|Supracristal ventricular septal defect
Type|Type 1 ventricular septal defect
Perimembranous|Perimembranous ventricular septal defect
Conoventricular|Conoventricular ventricular septal defect
Membranous|Membranous ventricular septal defect
Paramembranous|Paramembranous ventricular septal defect
Type|Type 2 ventricular septal defect
Restrictive|Restrictive ventricular septal defect
Non-restrictive|Non-restrictive ventricular septal defect
Infra-aortic|Infra-aortic superior vena cava
Abnormal|Abnormal coronary artery course
AV|AV nodal tachycardia
Atrioventricular|Atrioventricular nodal tachycardia
Supraventricular|Supraventricular tachycardia with an accessory connection mediated pathway
Atrioventricular|Atrioventricular re-entry tachycardia
Supraventricular|Supraventricular tachycardia with a concealed accessory connection
Permanent|Permanent junctional reciprocating tachycardia
Supraventricular|Supraventricular tachycardia with a concealed accessory pathway on the left free wall
Supraventricular|Supraventricular tachycardia with a concealed accessory pathway on the right free wall
Supraventricular|Supraventricular tachycardia with a concealed accessory pathway on the septum
Supraventricular|Supraventricular tachycardia with a manifest accessory pathway
Cerebellar|Cerebellar hemorrhage
Supraventricular|Supraventricular tachycardia with a manifest accessory pathway on the left free wall
Supraventricular|Supraventricular tachycardia with a manifest accessory pathway on the right free wall
Supraventricular|Supraventricular tachycardia with a manifest accessory pathway on the septum
Atrial|Atrial reentry tachycardia
Automatic|Automatic atrial tachycardia
Multifocal|Multifocal atrial tachycardia
Ectopic|Ectopic atrial tachycardia
Abnormal|Abnormal electrophysiology of sinoatrial node origin
Sinus|Sinus tachycardia
Inappropriate|Inappropriate sinus tachycardia
Sick|Sick sinus syndrome
First|First degree atrioventricular block
Second|Second degree atrioventricular block
Mobitz|Mobitz I atrioventricular block
Mobitz|Mobitz type 1 atrioventricular block
Wenckebach|Wenckebach block
Mobitz|Mobitz II atrioventricular block
Mobitz|Mobitz type 2 atrioventricular block
Atrioventricular|Atrioventricular dissociation
Bundle|Bundle branch block
Left|Left anterior fascicular block
Left|Left anterior hemiblock
Right|Right bundle branch block
Left|Left bundle branch block
Libman-Sacks|Libman-Sacks lesions
Trifascicular|Trifascicular block
Junctional|Junctional ectopic tachycardia
AV|AV nodal reentry tachycardia
Abnormality|Abnormality of the pulmonary veins
Supracardiac|Supracardiac total anomalous pulmonary venous connection
Type|Type 1 total anomalous pulmonary venous connection
Cardiac|Cardiac total anomalous pulmonary venous connection
Type|Type 2 total anomalous pulmonary venous connection
Infracardiac|Infracardiac total anomalous pulmonary venous connection
Type|Type 3 total anomalous pulmonary venous connection
Mixed|Mixed total anomalous pulmonary venous connection
Type|Type 4 total anomalous pulmonary venous connection
Congenital|Congenital malformation of the right heart
Uhl's|Uhl's anomaly
Chaotic|Chaotic multifocal atrial tachycardia
Persistent|Persistent fetal circulation
Peroneal|Peroneal muscle weakness
Elbow|Elbow clonus
Abnormality|Abnormality of joint mobility
Abnormality|Abnormality of central sensory function
Abnormality|Abnormality of circulating cortisol level
Abnormality|Abnormality of adrenal morphology
Abnormality|Abnormality of adrenal physiology
Central|Central adrenal insufficiency
Secondary|Secondary adrenal insufficiency
Adrenocorticotropin|Adrenocorticotropin (ACTH) deficient adrenal insufficiency
Primary|Primary hyperaldosteronism
Corticotropin-releasing|Corticotropin-releasing hormone (CRH) deficient adrenal insufficiency
Tertiary|Tertiary adrenal insufficiency
Corticotropin-releasing|Corticotropin-releasing hormone receptor (CRHR) defect
Dexamethasone-suppresible|Dexamethasone-suppresible primary hyperaldosteronism
Glucocortocoid-insensitive|Glucocortocoid-insensitive primary hyperaldosteronism
Secondary|Secondary hyperaldosteronism
Hyperreninemic|Hyperreninemic hyperaldosteronism
Ectopic|Ectopic adrenal gland
Adrenal|Adrenal gland agenesis
Secondary|Secondary hypercorticolism
Non-secretory|Non-secretory adrenocortical adenoma
Non-secretory|Non-secretory adrenal adenoma
Secretory|Secretory adrenocortical adenoma
Secretory|Secretory adrenal adenoma
Abnormality|Abnormality of the anterior pituitary
Adrenocorticotropic|Adrenocorticotropic hormone deficiency
ACTH|ACTH deficiency
Corticotropin|Corticotropin deficiency
Adrenocorticotropic|Adrenocorticotropic hormone excess
ACTH|ACTH excess
Neoplasm|Neoplasm of the anterior pituitary
Abnormality|Abnormality of the posterior pituitary
Neoplasm|Neoplasm of the posterior pituitary
Posterior|Posterior pituitary dysgenesis
Posterior|Posterior pituitary dysplasia
Pituicytoma|Pituicytoma
Ectopic|Ectopic posterior pituitary
Posterior|Posterior pituitary agenesis
Posterior|Posterior pituitary hypoplasia
Pituitary|Pituitary acidophilic stem cell adenoma
Pituitary|Pituitary gonadotropic cell adenoma
Pituitary|Pituitary gonadotropinoma
Pituitary|Pituitary growth hormone cell adenoma
Pituitary|Pituitary somatotropinoma
Pituitary|Pituitary null cell adenoma
Clinically|Clinically silent pituitary adenoma
Hormonally|Hormonally silent pituitary adenoma
Non-functional|Non-functional pituitary adenoma
Silent|Silent pituitary adenoma
Pituitary|Pituitary thyrotropic cell adenoma
Pituitary|Pituitary thyrotropinoma
Pituitary|Pituitary carcinoma
Pituitary|Pituitary spindle cell oncocytoma
Ectopic|Ectopic anterior pituitary
Abnormality|Abnormality of the parathyroid morphology
Abnormality|Abnormality of the parathyroid physiology
Parathyroid|Parathyroid dysgenesis
Ectopic|Ectopic parathyroid
Tertiary|Tertiary hyperparathyroidism
Autoimmune|Autoimmune hypoparathyroidism
Abnormality|Abnormality of thyroid morphology
Uninodular|Uninodular goiter
Thyroid|Thyroid follicular adenoma
Thyroid|Thyroid macrofollicular adenoma
Thyroid|Thyroid microfollicular adenoma
Thyroid|Thyroid papillary adenoma
Thyroid|Thyroid atypical adenoma
Anaplastic|Anaplastic thyroid carcinoma
Thyroid|Thyroid hemiagenesis
Thyroid|Thyroid C cell hyperplasia
Thyroid|Thyroid crisis
Thyrotoxicosis|Thyrotoxicosis from ectopic thyroid tissue
Thyrotoxicosis|Thyrotoxicosis with diffuse goiter
Thyrotoxicosis|Thyrotoxicosis with diffuse goitre
Thyrotoxicosis|Thyrotoxicosis with toxic multinodular goitre
Thyrotoxicosis|Thyrotoxicosis with toxic single thyroid nodule
Central|Central hypothyroidism
Increased|Increased serum free triiodothyronine (fT3)
Thyroid-stimulating|Thyroid-stimulating hormone receptor (TSHR) defect
Activating|Activating thyroid-stimulating hormone receptor (TSHR) defect
Inactivating|Inactivating thyroid-stimulating hormone receptor (TSHR) defect
Neoplasm|Neoplasm by histology
Neoplasm|Neoplasm by anatomical site
Embryonal|Embryonal renal neoplasm
Intralobar|Intralobar nephroblastomatosis
Intralobar|Intralobar nephrogenic rests
Perilobar|Perilobar nephroblastomatosis
Perilobar|Perilobar nephrogenic rests
Papillary|Papillary renal cell carcinoma type 1
Renal|Renal oncocytoma
Abnormality|Abnormality of facial soft tissue
Midface|Midface retrusion
Enlargement|Enlargement of parotid gland
Hyperplasia|Hyperplasia of parotid gland
Hamartoma|Hamartoma of tongue
Bifid|Bifid nose
Abnormality|Abnormality of muscle physiology
Abnormality|Abnormality of muscle morphology
Type|Type 1 muscle fiber atrophy
Decreased|Decreased patellar reflex
DECREASED|DECREASED PATELLAR REFLEXES
Paradoxical|Paradoxical myotonia
Impaired|Impaired two-point discrimination
Impaired|Impaired touch localization
Impaired|Impaired touch localisation
Agraphesthesia|Agraphesthesia
Increased|Increased cerebral lipofuscin
Increased|Increased urinary hypoxanthine
Cephalocele|Cephalocele
Parietal|Parietal encephalocele
Basal|Basal encephalocele
Nasofrontal|Nasofrontal encephalocele
Naso-frontal|Naso-frontal encephalocele
Submucous|Submucous cleft soft palate
Membranous|Membranous choanal atresia
Abnormality|Abnormality of facial skeleton
Broad|Broad chin
Chin|Chin with horizontal crease
Chin|Chin with H-shaped crease
Chin,|Chin, H-Shaped Crease 
Chin,|Chin, H-shaped groove
H-shaped|H-shaped dimple of the chin
Tented|Tented philtrum
Philtrum,|Philtrum, Tented
Philtrum|Philtrum with midline raphe
Philtrum,|Philtrum, Midline Raphe
Malaligned|Malaligned philtral ridges
Philtral|Philtral Ridges, Malaligned
Midline|Midline sinus of philtrum
Philtrum,|Philtrum, Midline Sinus
Narrow|Narrow philtrum
Philtrum,|Philtrum, Narrow
Abnormality|Abnormality of oral mucosa
Deviated|Deviated nasal tip
Nasal|Nasal tip, deviated
Narrow|Narrow nasal tip
Nasal|Nasal tip, narrow
Nasal|Nasal tip, pinched
Overhanging|Overhanging nasal tip
Nasal|Nasal tip, overhanging
Moyamoya|Moyamoya phenomenon
Absent|Absent scaphoid
Delayed|Delayed talus ossification
Partial|Partial IgA deficiency
Sclerodactyly|Sclerodactyly
Abnormality|Abnormality of T cell number
Abnormality|Abnormality of T cell physiology
Ventricular|Ventricular flutter
Abnormality|Abnormality of skeletal morphology
Abnormality|Abnormality of skeletal physiology
Abnormal|Abnormal appendicular skeleton morphology
Short|Short second metatarsal
Osteoblastoma|Osteoblastoma
Giant|Giant cell tumor of bone
Abdominal|Abdominal colic
Abnormal|Abnormal bone ossification
Parotitis|Parotitis
Hemopericardium|Hemopericardium
Chylopericardium|Chylopericardium
Serous|Serous pericardial effusion
Hemoperitoneum|Hemoperitoneum
Pharyngeal|Pharyngeal edema
Pica|Pica
Plasmacytoma|Plasmacytoma
Reduced|Reduced factor IX activity
Punctate|Punctate keratitis
Metaphyseal|Metaphyseal dappling
Dappled|Dappled metaphyseal sclerosis
Bilateral|Bilateral trilobed lungs
Abnormal|Abnormal bone collagen fibril morphology
